id_aluna,dt_feed,age_a,motivo_n_dirige,dif_area,tot_aulas,id_inst,nota_inst,nota_escola,feed,nota
2db34da7,2024-05-24,33,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),9,Giovana Cordeiro,4.0,4.0,Positivo,Consegui vencer meu trauma. A Giovana Cordeiro foi fundamental nesse processo.
c7d595f3,2025-03-04,33,Medo de errar e ser julgada,Dirigir em rodovias,9,Fatima Reis,3.0,,Negativo,Não senti que evoluí. A Fatima Reis não entendeu meu medo real.
d84d0919,2025-10-31,25,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),18,Giovana Cordeiro,4.0,5.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
de87882b,2024-01-21,34,Trauma (acidente anterior),Controle de embreagem (Subidas),16,Maria Eduarda,5.0,5.0,Positivo,Fiz a aula no meu próprio carro e foi ótimo para eu pegar confiança nele.
d97deed4,2024-09-30,29,Falta de prática (anos sem dirigir),Dirigir em rodovias,9,Aline dos Santos,4.0,4.0,Positivo,A instrutora Aline dos Santos tem uma energia ótima e tornou as aulas leves e divertidas.
83196856,2023-12-21,23,Medo de errar e ser julgada,Dirigir em rodovias,9,Aline dos Santos,2.0,3.0,Negativo,Não senti segurança no método da Aline dos Santos. Muito fraco.
f9811eee,2025-09-26,54,Medo de ladeiras/subidas,Trânsito intenso (Mudar de faixa),10,Fatima Reis,3.0,3.0,Negativo,"Ela não me ensinou a estacionar direito, só ficamos andando pelo bairro."
1ea5760e,2025-08-01,33,Trânsito intenso / Agressividade,Manobras em geral (Ré),20,Sueli Lopes,4.0,5.0,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
6ae295b8,2023-11-12,38,Trauma (acidente anterior),Dirigir em rodovias,13,Fatima Reis,5.0,5.0,Positivo,"A instrutora Fatima Reis é calma, simpática e passa muita tranquilidade."
a2f123ee,2024-09-26,42,Medo de ladeiras/subidas,Controle de embreagem (Subidas),15,Giovana Cordeiro,5.0,5.0,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
690f5ade,2023-06-11,41,Falta de prática (anos sem dirigir),Dirigir à noite / Chuva,8,Giovana Cordeiro,4.0,4.0,Positivo,"Aulas focadas no que eu realmente precisava, sem enrolação."
2201fb0c,2024-04-12,38,Ansiedade geral / Pânico,Dirigir em rodovias,14,Sueli Lopes,5.0,5.0,Positivo,A instrutora Sueli Lopes me deu dicas que vou levar para a vida.
f27e2de7,2023-03-09,39,Medo de errar e ser julgada,Manobras em geral (Ré),13,Sueli Lopes,5.0,5.0,Positivo,Recomendo a Sueli Lopes para qualquer pessoa que tenha pânico de dirigir.
6529e7e2,2024-05-24,52,Falta de prática (anos sem dirigir),Controle de embreagem (Subidas),15,Maria Eduarda,4.0,5.0,Positivo,
c164a27d,2023-09-24,29,Trauma (acidente anterior),Dirigir à noite / Chuva,10,Sueli Lopes,4.0,4.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
4cfd8444,2023-10-09,54,Medo de ladeiras/subidas,Controle de embreagem (Subidas),8,Giovana Cordeiro,4.0,4.0,Positivo,Recomendo a Giovana Cordeiro para qualquer pessoa que tenha pânico de dirigir.
190a6a1a,2023-11-17,45,Falta de prática (anos sem dirigir),Dirigir em rodovias,9,Giovana Cordeiro,5.0,4.0,Positivo,A instrutora Giovana Cordeiro tem uma energia ótima e tornou as aulas leves e divertidas.
75e25608,2025-08-07,43,Insegurança em rodovias/velocidade,Manobras em geral (Ré),18,Sueli Lopes,,5.0,,A instrutora Sueli Lopes foi incrível! Super paciente e me devolveu a confiança.
bf4338b7,2024-12-27,53,Falta de prática (anos sem dirigir),Manobras em geral (Ré),14,Giovana Cordeiro,5.0,5.0,Positivo,"O carro da aula era novo, limpo e muito fácil de dirigir."
80980b95,2024-11-28,36,Medo de errar e ser julgada,Dirigir em rodovias,16,Aline dos Santos,5.0,4.0,Positivo,
e20feb60,2023-03-10,54,Medo de ladeiras/subidas,Manobras em geral (Ré),16,Giovana Cordeiro,5.0,4.0,Positivo,
f59b2faa,2024-04-26,50,Medo de errar e ser julgada,Manobras em geral (Ré),15,Sueli Lopes,5.0,5.0,Positivo,
744e5c53,2023-12-02,34,Medo de ladeiras/subidas,Dirigir à noite / Chuva,11,Maria Eduarda,5.0,,Positivo,"O atendimento da escola foi ótimo, e as aulas com a Maria Eduarda foram perfeitas."
cda29ece,2025-06-02,23,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),17,Maria Eduarda,5.0,4.0,Positivo,Ela foi muito profissional ao lidar com minha crise de ansiedade na primeira aula.
e330c879,2023-02-02,48,Insegurança em rodovias/velocidade,Controle de embreagem (Subidas),19,Aline dos Santos,5.0,4.0,Positivo,Ela foi muito profissional ao lidar com minha crise de ansiedade na primeira aula.
eeb96cd9,2023-10-21,34,Ansiedade geral / Pânico,Controle de embreagem (Subidas),17,Sueli Lopes,4.0,5.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
42a621d3,2023-10-04,54,Insegurança em rodovias/velocidade,Trânsito intenso (Mudar de faixa),9,Fatima Reis,1.0,,Negativo,"Pedi para treinar em rodovia e a Fatima Reis desconversou, disse que não precisava."
30f519ea,2023-11-30,49,Medo de ladeiras/subidas,Dirigir à noite / Chuva,4,Aline dos Santos,2.0,4.0,Negativo,"A instrutora Aline dos Santos criticou como eu segurava o volante o tempo todo, de forma grosseira."
b05c2aff,2024-03-28,27,Trauma (acidente anterior),Trânsito intenso (Mudar de faixa),9,Fatima Reis,2.0,2.0,Negativo,"Paguei por 60 minutos, mas a aula com a Fatima Reis terminou 10 minutos antes."
ae60a2f8,2025-08-08,49,Insegurança em rodovias/velocidade,Manobras em geral (Ré),12,Sueli Lopes,5.0,4.0,Positivo,O método de ensino é progressivo e respeita o limite da aluna.
0f3fa2bd,2023-08-27,44,Trauma (acidente anterior),Dirigir em rodovias,6,Giovana Cordeiro,2.0,2.0,Negativo,
def5b6c2,2025-04-02,44,Insegurança em rodovias/velocidade,Dirigir em rodovias,15,Giovana Cordeiro,5.0,5.0,Positivo,
807cd010,2023-11-27,43,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),9,Fatima Reis,3.0,3.0,Negativo,Cancelei uma aula com 24h de antecedência e mesmo assim a escola me cobrou.
77f96f2f,2025-08-26,24,Medo de errar e ser julgada,Dirigir à noite / Chuva,20,Maria Eduarda,4.0,5.0,Positivo,Ela entendeu exatamente meu medo (ladeiras) e focou nisso até eu me sentir segura.
f0c689ef,2024-10-10,51,Trânsito intenso / Agressividade,Estacionar (Baliza/Vaga de shopping),16,Maria Eduarda,4.0,5.0,Positivo,"A comunicação com a escola é fácil, respondem rápido no WhatsApp."
3f53fb10,2023-04-13,22,Insegurança em rodovias/velocidade,Trânsito intenso (Mudar de faixa),18,Maria Eduarda,4.0,,Positivo,A Maria Eduarda me ensinou 'macetes' de estacionamento que nenhuma autoescola ensina.
18e058dd,2023-10-14,55,Ansiedade geral / Pânico,Manobras em geral (Ré),10,Aline dos Santos,5.0,,Positivo,Consegui vencer meu trauma. A Aline dos Santos foi fundamental nesse processo.
1d976b38,2023-10-21,43,Insegurança em rodovias/velocidade,Dirigir em rodovias,13,Aline dos Santos,5.0,4.0,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
19357326,2024-05-02,51,Medo de errar e ser julgada,Controle de embreagem (Subidas),10,Sueli Lopes,5.0,5.0,Positivo,A flexibilidade de horários da escola me ajudou muito.
bc3aa65a,2024-10-22,51,Trânsito intenso / Agressividade,Manobras em geral (Ré),10,Giovana Cordeiro,3.0,,Negativo,O carro falhou duas vezes na subida. Fiquei mais nervosa do que já estava.
2fff001a,2024-08-17,45,Insegurança em rodovias/velocidade,Trânsito intenso (Mudar de faixa),10,Sueli Lopes,2.0,3.0,Negativo,Faltou empatia. A Sueli Lopes disse que 'era só dirigir' e que meu medo era bobo.
7857c7c8,2025-06-19,32,Medo de ladeiras/subidas,Dirigir em rodovias,6,Fatima Reis,3.0,3.0,Negativo,O carro da aula estava com cheiro ruim e parecia sujo.
aa1da6a6,2023-08-28,24,Medo de ladeiras/subidas,Trânsito intenso (Mudar de faixa),19,Maria Eduarda,4.0,4.0,Positivo,Fiz a aula no meu próprio carro e foi ótimo para eu pegar confiança nele.
1fa39faf,2023-06-23,37,Falta de prática (anos sem dirigir),Manobras em geral (Ré),18,Sueli Lopes,5.0,5.0,Positivo,Aprendi a dirigir em rodovia e hoje viajo sozinha. Gratidão à Sueli Lopes.
d98410f2,2025-08-09,26,Medo de errar e ser julgada,Dirigir em rodovias,12,Sueli Lopes,4.0,4.0,Positivo,
baed3023,2023-08-25,44,Trauma (acidente anterior),Trânsito intenso (Mudar de faixa),14,Maria Eduarda,5.0,5.0,Positivo,"A Maria Eduarda não gritou, não foi irônica. Foi 100% apoio."
75691da7,2023-10-16,36,Insegurança em rodovias/velocidade,Manobras em geral (Ré),19,Maria Eduarda,,4.0,,"A instrutora Maria Eduarda é calma, simpática e passa muita tranquilidade."
6776597b,2023-05-31,45,Ansiedade geral / Pânico,Trânsito intenso (Mudar de faixa),8,Giovana Cordeiro,5.0,5.0,Positivo,
e3962664,2023-12-26,48,Medo de ladeiras/subidas,Manobras em geral (Ré),11,Sueli Lopes,5.0,4.0,Positivo,"Valeu o investimento, hoje tenho minha independência."
18c8c297,2023-07-24,52,Insegurança em rodovias/velocidade,Manobras em geral (Ré),19,Aline dos Santos,4.0,4.0,Positivo,"Achei que nunca mais ia dirigir, mas o método da Aline dos Santos funciona. Estou feliz!"
9fafee65,2025-07-13,30,Medo de ladeiras/subidas,Controle de embreagem (Subidas),9,Giovana Cordeiro,3.0,2.0,Negativo,A Giovana Cordeiro parecia impaciente e mexeu no celular durante a aula.
3921ef2f,2023-01-15,38,Trânsito intenso / Agressividade,Trânsito intenso (Mudar de faixa),8,Aline dos Santos,4.0,4.0,Positivo,"A Aline dos Santos não gritou, não foi irônica. Foi 100% apoio."
9a23d51e,2024-11-20,36,Medo de ladeiras/subidas,Manobras em geral (Ré),8,Fatima Reis,4.0,,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
6d931b15,2025-03-08,55,Insegurança em rodovias/velocidade,Dirigir em rodovias,15,Giovana Cordeiro,5.0,4.0,Positivo,
c08b39cb,2023-07-20,24,Trânsito intenso / Agressividade,Dirigir à noite / Chuva,9,Fatima Reis,2.0,4.0,Negativo,A Fatima Reis ficava me apressando na hora de estacionar.
9431bc87,2025-05-19,26,Medo de errar e ser julgada,Dirigir à noite / Chuva,7,Fatima Reis,1.0,3.0,Negativo,A Fatima Reis ficava me apressando na hora de estacionar.
b26641f9,2025-01-24,55,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),9,Aline dos Santos,4.0,5.0,Positivo,A instrutora Aline dos Santos me deu dicas que vou levar para a vida.
608df854,2025-09-04,29,Medo de ladeiras/subidas,Manobras em geral (Ré),17,Maria Eduarda,5.0,5.0,Positivo,A instrutora Maria Eduarda foi incrível! Super paciente e me devolveu a confiança.
7745ea28,2024-06-25,37,Medo de ladeiras/subidas,Estacionar (Baliza/Vaga de shopping),16,Maria Eduarda,5.0,4.0,Positivo,
fd13594f,2024-09-18,50,Medo de ladeiras/subidas,Controle de embreagem (Subidas),7,Fatima Reis,,4.0,,"Não senti firmeza na Fatima Reis, ela parecia tão nervosa quanto eu."
f53117ab,2024-02-28,38,Trauma (acidente anterior),Manobras em geral (Ré),10,Sueli Lopes,5.0,5.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
649eaa3c,2025-10-15,42,Medo de errar e ser julgada,Dirigir em rodovias,12,Maria Eduarda,4.0,4.0,Positivo,
68dd4b87,2024-02-29,22,Trânsito intenso / Agressividade,Dirigir em rodovias,9,Aline dos Santos,5.0,4.0,Positivo,"A Aline dos Santos não gritou, não foi irônica. Foi 100% apoio."
afc3a272,2025-06-13,46,Falta de prática (anos sem dirigir),Controle de embreagem (Subidas),16,Aline dos Santos,4.0,5.0,Positivo,Fiz a aula no meu próprio carro e foi ótimo para eu pegar confiança nele.
81847cfb,2024-11-04,28,Insegurança em rodovias/velocidade,Dirigir à noite / Chuva,8,Giovana Cordeiro,4.0,5.0,Positivo,"Didática excelente da Giovana Cordeiro, me senti segura desde a primeira aula."
9c7e0732,2024-07-19,31,Medo de errar e ser julgada,Dirigir em rodovias,4,Fatima Reis,1.0,2.0,Negativo,A escola nunca atende o telefone. Difícil conseguir contato.
87a5bd65,2023-03-12,30,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),8,Maria Eduarda,2.0,4.0,Negativo,O carro da aula estava com cheiro ruim e parecia sujo.
da14d998,2024-11-30,22,Trauma (acidente anterior),Controle de embreagem (Subidas),6,Sueli Lopes,2.0,3.0,Negativo,"Pedi para treinar em rodovia e a Sueli Lopes desconversou, disse que não precisava."
6cabe359,2023-12-30,25,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),16,Giovana Cordeiro,5.0,,Positivo,
dec80105,2024-09-26,23,Trânsito intenso / Agressividade,Controle de embreagem (Subidas),18,Aline dos Santos,4.0,4.0,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
5584e3df,2024-01-04,33,Trânsito intenso / Agressividade,Manobras em geral (Ré),16,Sueli Lopes,5.0,4.0,Positivo,O carro com direção hidráulica e ar fez toda a diferença.
974f65d4,2023-10-19,23,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),10,Maria Eduarda,,4.0,,"Valeu o investimento, hoje tenho minha independência."
22fe0ab9,2023-05-20,38,Falta de prática (anos sem dirigir),Estacionar (Baliza/Vaga de shopping),10,Aline dos Santos,5.0,,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
acb8421b,2025-06-13,47,Trânsito intenso / Agressividade,Trânsito intenso (Mudar de faixa),14,Maria Eduarda,4.0,4.0,Positivo,Ela me ensinou a dirigir na chuva e à noite. Estou pronta!
152a5c70,2024-12-18,28,Ansiedade geral / Pânico,Trânsito intenso (Mudar de faixa),8,Giovana Cordeiro,5.0,5.0,Positivo,O método de ensino é progressivo e respeita o limite da aluna.
67699bca,2024-05-16,42,Ansiedade geral / Pânico,Trânsito intenso (Mudar de faixa),18,Sueli Lopes,,4.0,,Finalmente fiz minha rota para o trabalho. Obrigada Sueli Lopes por toda a paciência!
e156ceb2,2024-06-02,54,Medo de errar e ser julgada,Controle de embreagem (Subidas),11,Giovana Cordeiro,5.0,5.0,Positivo,A flexibilidade de horários da escola me ajudou muito.
2e41cd64,2024-11-15,47,Insegurança em rodovias/velocidade,Dirigir à noite / Chuva,6,Maria Eduarda,2.0,3.0,Negativo,A Maria Eduarda ficava me apressando na hora de estacionar.
6e5260e5,2025-03-12,47,Medo de ladeiras/subidas,Dirigir à noite / Chuva,9,Sueli Lopes,5.0,5.0,Positivo,Ela me ensinou a dirigir na chuva e à noite. Estou pronta!
02205973,2025-05-30,46,Trauma (acidente anterior),Dirigir à noite / Chuva,5,Fatima Reis,2.0,3.0,Negativo,A Fatima Reis parecia impaciente e mexeu no celular durante a aula.
f452ef40,2023-05-25,45,Trauma (acidente anterior),Dirigir à noite / Chuva,17,Aline dos Santos,4.0,5.0,Positivo,A Aline dos Santos me ensinou 'macetes' de estacionamento que nenhuma autoescola ensina.
0022638d,2024-10-19,22,Medo de errar e ser julgada,Controle de embreagem (Subidas),13,Giovana Cordeiro,5.0,5.0,Positivo,
2ed6cbe5,2023-04-20,39,Insegurança em rodovias/velocidade,Controle de embreagem (Subidas),8,Giovana Cordeiro,5.0,4.0,Positivo,A instrutora Giovana Cordeiro tem uma energia ótima e tornou as aulas leves e divertidas.
d1819c29,2024-08-07,23,Medo de ladeiras/subidas,Estacionar (Baliza/Vaga de shopping),20,Maria Eduarda,5.0,5.0,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
e2f6a444,2023-01-20,55,Trauma (acidente anterior),Controle de embreagem (Subidas),10,Aline dos Santos,4.0,4.0,Positivo,A flexibilidade de horários da escola me ajudou muito.
23a43a3a,2023-12-23,49,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),7,Sueli Lopes,3.0,3.0,Negativo,"A Sueli Lopes é boa, mas a escola é desorganizada para marcar as aulas."
cbcac0b6,2023-07-18,25,Medo de ladeiras/subidas,Trânsito intenso (Mudar de faixa),8,Fatima Reis,1.0,4.0,Negativo,Não gostei da abordagem. Parecia que ela estava com pressa para terminar a aula.
edbaa0f1,2024-03-14,39,Medo de ladeiras/subidas,Dirigir à noite / Chuva,4,Giovana Cordeiro,3.0,4.0,Negativo,O carro que usei na aula era muito velho e a direção era dura.
d77344a0,2023-04-09,32,Medo de ladeiras/subidas,Dirigir em rodovias,15,Maria Eduarda,,,,Recomendo a Maria Eduarda para qualquer pessoa que tenha pânico de dirigir.
f0947ffd,2025-08-23,32,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),9,Maria Eduarda,4.0,4.0,Positivo,
814ef69a,2025-01-28,35,Medo de errar e ser julgada,Manobras em geral (Ré),8,Sueli Lopes,5.0,5.0,Positivo,Consegui vencer meu trauma. A Sueli Lopes foi fundamental nesse processo.
d4bf5877,2025-03-22,44,Falta de prática (anos sem dirigir),Manobras em geral (Ré),5,Fatima Reis,1.0,3.0,Negativo,Não senti segurança no método da Fatima Reis. Muito fraco.
2b902ec7,2024-01-16,35,Medo de errar e ser julgada,Dirigir à noite / Chuva,6,Fatima Reis,3.0,4.0,Negativo,A Fatima Reis ficava me apressando na hora de estacionar.
21eb2e81,2024-01-29,31,Ansiedade geral / Pânico,Estacionar (Baliza/Vaga de shopping),14,Giovana Cordeiro,5.0,5.0,Positivo,Recomendo a Giovana Cordeiro para qualquer pessoa que tenha pânico de dirigir.
fce790a4,2023-08-09,47,Medo de errar e ser julgada,Manobras em geral (Ré),6,Fatima Reis,2.0,3.0,Negativo,A Fatima Reis parecia impaciente e mexeu no celular durante a aula.
54b89179,2025-03-26,24,Medo de errar e ser julgada,Dirigir em rodovias,5,Fatima Reis,3.0,2.0,Negativo,"Ela não me ensinou a estacionar direito, só ficamos andando pelo bairro."
